,z,Ar0.001,z.1,Ar0.4,z.2,Standard
0,186.60514800570562,72.84158797630609,167.4145657116337,908.1975098847572,184.54382930968714,21.02705116794306
1,175.8495481411001,66.19312226568121,158.6943914036471,831.7960946757962,176.0744545910965,22.52023575996425
2,166.25564397529334,61.685755948350355,150.83287477555584,761.3956092244647,164.7869735984582,24.71687301081087
3,157.6478755154611,57.90511720646729,143.7096880870553,693.8398279212444,152.729234750369,27.229911060230357
4,149.88027315014213,55.24567632916915,137.22441551017417,634.7601257750281,142.3085746958688,29.54852330335405
5,142.83678861124085,53.09329436478149,131.29542903075694,581.0361166269355,135.1410870270755,31.23705417949181
6,136.42095678787376,51.28244996367128,125.85433743831332,530.9668188842054,131.37505489081903,32.00181156099641
7,130.72314647074188,49.73060222743932,120.84257800358544,487.93551200300715,124.26893354470195,33.79673782547218
8,125.16252189001439,49.31206880436428,116.2120328409352,447.13851138511376,117.26492322469366,35.384028384229715
9,120.19752776105125,48.51811583865987,111.92023007299007,411.3611564130186,112.20200108699177,36.48614781994063
10,115.60786227721671,48.08555802405122,107.93162054839627,378.44649185162893,109.36018702671556,37.04068392386371
11,111.35345746778701,47.47050363845173,104.21504807479828,348.75056896688693,104.37866479351412,38.05463554042948
12,107.3980407771529,47.17913439260712,100.743599628861,321.92492515062565,100.34096653916158,38.75537539227014
13,103.71202257550021,46.65394629525282,97.49383508271096,297.4955270295565,98.05793749615039,39.06079995475121
14,100.26825142096517,46.26389541646862,94.44514268174738,275.38197781665957,94.0267385085131,39.55305468531859
15,97.04342699503452,46.134604480183114,91.5794849785546,255.05489820102648,90.73174526851561,39.72166381439407
16,94.01812036814276,45.646585591278075,88.88082892549498,236.49283108228883,88.85739035672445,39.850264988896974
17,91.17395939554655,45.13845750147659,86.33501778851594,219.40441951343135,85.30747483536275,40.087957547323946
18,88.49481889295785,44.8865185486575,83.92926269343126,204.34984692890825,82.60866379149321,39.901412517540635
19,85.96744685152764,44.26280608989416,81.6525446706404,190.1153151063615,81.12209562799437,39.67976154075354
20,83.39940042869902,42.5830451975258,79.49463237353375,177.16956880541312,78.23996361701072,39.50880294005299
21,81.40271071733781,41.91389449846573,77.44653166449048,165.10535247060534,75.95932775491397,39.211395846053925
22,79.17549595771759,41.88020807532505,75.49998112898892,154.20749906523864,74.69803061996379,38.98786220584716
23,77.14113786574974,41.25866242075402,73.64765235157631,144.19028271322816,72.24266598207574,38.569274261132435
24,75.20747934655778,40.63009426456643,71.88292527432657,134.74833689216726,70.27026069607895,37.905830191534015
25,73.36715342702769,40.071933857931995,70.19957785898094,126.41901093735066,69.20688311372164,37.409016404011034
26,71.61380948362364,39.30357704201074,68.59228837364202,118.40556793386467,67.09031119121039,36.44940730826303
27,69.94105541633462,38.76033383276976,67.05596415803413,110.90008072194831,65.38256070644412,35.64242988670243
28,68.34373690344353,38.10213278850217,65.58595723214641,104.04490950385896,64.45921489157409,35.020929842965316
29,66.81706990354304,37.084592786372816,64.1780643194203,97.7775269999476,62.61554462240921,34.024498507672305
30,65.35589352042065,36.44455022355647,62.8285059548553,91.78487114320436,61.12245233435289,33.22654435888698
31,63.95652239808601,35.6012248774525,61.53359896272423,86.49773004441951,60.31311937810592,32.61273090406963
32,62.615057768549384,34.64456298170619,60.290215566744976,81.42394871795766,58.786499874278434,31.534575064976018
33,61.32771405568635,33.92941228051609,59.09528675306466,76.73363428672218,56.886334499936105,30.23686447394247
34,60.09151922880657,33.12256283117104,57.946099022616075,72.19217697666149,55.08646014719116,28.733056260218778
35,58.90354137918269,32.154424171141315,56.84001292821402,67.9955775531762,53.75324574377255,27.471912141256016
36,57.760794634174346,31.337121012246556,55.77467227699095,64.04293041730358,52.67171313319796,27.12272579332027
37,56.660917610854675,30.421168991848106,54.74781999876826,60.45525274476607,51.379076894236945,25.769803745148774
38,55.601434870234435,29.56506655065051,53.75749678967925,56.94093181083217,50.38913059851816,24.484367468222267
39,54.58017276545859,28.749142954312276,52.80169036830394,53.78120077069817,49.35778004728782,23.56254637000469
40,53.595277545147866,27.72201258156241,51.87871047462376,50.711584629433425,48.59231999932386,22.675431258707995
41,52.6445295568392,26.941868904232148,50.98685424653198,47.84394117992596,47.849782171623616,21.82171547566444
42,51.726390525246465,26.09589557599431,50.12455402244795,45.21431457311785,46.84658428194006,21.000141557086543
43,50.83930127221379,25.06516140461955,49.29041167632169,42.681413817076944,46.019197317178715,19.952623149688787
44,49.98140285860203,24.305309246976023,48.48304276104468,40.31296314748381,45.02417179117121,18.957356524063755
45,49.151502869453815,23.476331996765417,47.701178618326914,38.09725854879211,44.25793352127451,18.24362392578463
46,48.34825268201687,22.586959845977205,46.9436209272761,36.0436602524858,43.516959907744955,17.33360473244007
47,47.57026578064367,21.816590060780378,46.209303442320525,34.024498507672305,42.79985824814412,16.46897865482869
48,46.816479599223314,21.00184686973076,45.49711645909707,32.17242637670933,42.04856926953989,15.647481416580192
49,46.08575742655316,20.18361095653634,44.80612133040871,30.370130712988555,40.99563211233736,14.67799267622069
50,45.37696845089812,19.484303181942593,44.135317686560725,28.7652386548172,40.14835104032987,13.593563908785256
51,44.6892565144947,18.73567467610635,43.483892279384385,27.214674458217026,39.28459910817575,12.75133206328452
52,44.02169525516383,17.945362707231478,42.85101736495691,25.71888564387548,38.45649661933854,11.809247432396967
53,43.37334574256752,17.2076396504482,42.235883801903356,24.3325323535589,37.661753832266484,10.936765212249702
54,42.74339753360784,16.509481888800607,41.63775588898912,23.046693701810103,36.85438582004097,10.128743088211932
55,42.131126748918625,15.78654567609119,41.05597761444295,21.779987877360508,36.291788224676836,9.747402255566056
56,41.535745634307375,15.112173645877736,40.4898555598921,20.594427168764753,35.704639034673434,9.027251779484567
57,40.95659109157306,14.450424376279576,39.938759881315605,19.49521180308176,35.09556878823576,8.467940109855292
58,40.39299590224059,13.817652546067384,39.402124499085666,18.434019425490476,34.54509813542689,7.943282347242813
59,39.844335139544015,13.219986552329916,38.8793579969129,17.45988429068537,33.973707107733574,7.356422544596406
60,39.31002295579446,12.655253180406056,38.369970043462764,16.50024394437877,33.34775999882927,6.900632335524427
61,38.78952145839591,12.10109037464726,37.87341975186736,15.610813204646718,32.77888779830695,6.39080484186031
62,38.28231352658203,11.54531679271207,37.38925533038286,14.744547594376671,32.194809578765145,5.843414133735175
63,37.78787387100238,11.015068536579276,36.91697617934211,13.965380472602524,31.63040542531983,5.481367101558412
64,37.30570993624963,10.526834396890866,36.456191814344116,13.205196102338563,30.865762510284387,4.8231784822393
65,36.83542353729737,10.020902205494176,36.00646209521784,12.500376573074698,,
66,36.397142425601544,9.579950355594216,35.56740887740158,11.826555069598896,,
67,35.92863331893248,9.110796704295126,35.13866130283314,11.176537050369587,,
68,35.491329053666725,8.702637079953073,34.719846462011084,10.568159155042292,,
69,35.02597050149034,8.240774237555392,34.310632439512496,9.987305826204455,,
70,34.62841374781008,7.853917919285076,33.910674669929314,9.454239286602435,,
71,34.257855622368,7.507199751737336,33.519698149463636,8.924613877859333,,
72,33.8411286039563,7.128816836533102,33.137368961926164,8.43881601550255,,
73,33.41663354284618,6.7750648581728905,32.76342036370788,7.974996886537596,,
74,32.73174326564892,6.164730614789752,32.39756731465488,7.545111885802786,,
75,32.20313762923498,5.725687657432938,32.03956195132456,7.134405128566037,,
76,31.819278687332606,5.498924764627466,31.689162417649882,6.734736565309941,,
77,31.243639895483312,5.0763967285022895,31.346109378348096,6.364578045229384,,
78,30.80367109670565,4.761872663008535,31.010178010399315,6.01813186262805,,
79,31.52482209002133,5.308844442309874,30.785091570670048,5.805556587843335,,
80,33.06997203518936,6.5354843312683215,,,,
