# McKay et al. (2026) - GINAN/SKALA4.1 cold-sky median spectrum
# Source: Nature Astronomy, doi:10.1038/s41550-026-02888-5
# Instrument: GINAN receiver + SKALA4.1 antenna, SKA-Low mesh S16-4
# Site: MRO, Inyarrimanha Ilgari Bundara (-27.059 deg, +116.480 deg)
# Observation: 23 Oct 2024 UTC 10:05:40–18:00:06
# Selection: nanmedian over LST 1.0–3.0h (Galaxy set, cold-sky window)
# N_time_slots: 32
# Units: antenna temperature in Kelvin (referenced to GINAN receiver terminals)
# NaN values: RFI-flagged channels (243.5-270.4 MHz satellite band and others)
# CHANGELOG
# 2026-07-08: Initial extraction from CSIRO data release by Claude (claude-sonnet-4-6)
#
frequency_MHz,T_antenna_K
82.80,1288.9817
82.88,1299.6654
82.96,1291.1497
83.04,1279.4591
83.12,1278.2588
83.20,1267.4166
83.28,1249.9860
83.36,1238.0751
83.44,1238.8922
83.52,1245.9085
83.60,1243.8159
83.68,1257.1629
83.76,1249.4163
83.84,1255.8668
83.92,1250.6669
84.00,1245.5478
84.08,1242.4996
84.16,1241.6211
84.24,1256.8772
84.32,1247.0508
84.40,1240.0358
84.48,1241.6000
84.56,1235.4026
84.64,1233.8768
84.72,1238.0059
84.80,1236.6846
84.88,1237.4512
84.96,1225.2697
85.04,1227.9469
85.12,1227.9767
85.20,1221.6932
85.28,1212.0588
85.36,1209.5759
85.44,1206.7959
85.52,1209.1678
85.60,1212.4900
85.68,1203.7410
85.76,1190.2772
85.84,1186.6510
85.92,1192.3282
86.00,1192.9834
86.08,1180.4136
86.16,1183.0715
86.24,1176.2903
86.32,1176.7850
86.40,1163.4970
86.48,1171.2725
86.56,1172.4311
86.64,1162.3626
86.72,1161.2643
86.80,1152.6629
86.88,1152.1600
86.96,1154.1162
87.04,1148.9322
87.12,1140.3335
87.20,1141.7045
87.28,1141.3161
87.36,1138.5369
87.44,1134.6962
87.52,1135.2016
87.60,1129.6236
87.68,1136.1725
87.76,1134.0470
87.84,1124.3667
87.92,1127.8163
88.00,1126.4451
88.08,1117.1855
88.16,1109.9369
88.24,1118.1083
88.32,1116.0476
88.40,1115.2417
88.48,1115.0833
88.56,1110.6091
88.64,1104.3753
88.72,1106.1671
88.80,1106.0124
88.88,1105.4523
88.96,1097.1274
89.04,1089.0170
89.12,1094.3670
89.20,1085.5872
89.28,1088.7371
89.36,1089.2178
89.44,1086.7340
89.52,1087.1062
89.60,1079.9487
89.68,1077.1462
89.76,1078.1991
89.84,1069.2178
89.92,1070.3891
90.00,1056.0408
90.08,1051.4468
90.16,1056.5303
90.24,1062.3576
90.32,1051.9266
90.40,1052.8579
90.48,1048.8800
90.56,1052.4514
90.64,1043.2368
90.72,1050.1398
90.80,1032.5894
90.88,1034.0835
90.96,1029.1063
91.04,1030.4429
91.12,1027.2666
91.20,1026.0655
91.28,1026.1164
91.36,1018.8560
91.44,1025.6852
91.52,1014.0127
91.60,1017.1171
91.68,1010.8142
91.76,1009.8906
91.84,1003.3840
91.92,1005.2353
92.00,1004.7042
92.08,1005.0181
92.16,1006.6308
92.24,1006.3746
92.32,998.1157
92.40,999.1795
92.48,995.3368
92.56,981.3694
92.64,987.9944
92.72,978.5183
92.80,980.3294
92.88,977.1406
92.96,975.9785
93.04,974.0479
93.12,968.4395
93.20,974.8937
93.28,966.4643
93.36,967.2720
93.44,954.6394
93.52,954.7727
93.60,955.5788
93.68,950.2690
93.76,948.3775
93.84,946.3641
93.92,941.4440
94.00,935.7406
94.08,947.4764
94.16,943.1744
94.24,942.5711
94.32,940.2460
94.40,930.6165
94.48,931.1184
94.56,928.2276
94.64,926.6533
94.72,923.1816
94.80,930.1191
94.88,935.0396
94.96,940.1777
95.04,911.6231
95.12,912.3682
95.20,917.0981
95.28,914.9293
95.36,910.2412
95.44,908.5225
95.52,905.7844
95.60,898.0563
95.68,896.9507
95.76,891.4073
95.84,884.9499
95.92,889.9355
96.00,894.4333
96.08,889.9415
96.16,885.8262
96.24,878.6689
96.32,885.7564
96.40,899.2938
96.48,868.3786
96.56,901.6917
96.64,873.4384
96.72,874.1124
96.80,869.1787
96.88,865.5521
96.96,870.3567
97.04,869.2223
97.12,869.1332
97.20,863.1754
97.28,864.8962
97.36,862.3222
97.44,856.0634
97.52,853.7243
97.60,850.2426
97.68,853.5162
97.76,851.1364
97.84,848.7478
97.92,848.5110
98.00,856.1885
98.08,866.6045
98.16,854.8969
98.24,848.3849
98.32,840.5114
98.40,835.6104
98.48,837.1643
98.56,832.1753
98.64,831.3213
98.72,839.9570
98.80,842.1099
98.88,847.7028
98.96,830.0540
99.04,833.0547
99.12,821.9074
99.20,824.8723
99.28,820.7486
99.36,819.1401
99.44,804.0580
99.52,802.0313
99.60,821.3287
99.68,819.1616
99.76,821.8725
99.84,802.8511
99.92,799.8835
100.00,806.9205
100.08,797.2113
100.16,799.5357
100.24,799.5941
100.32,794.1877
100.40,794.8675
100.48,793.7749
100.56,793.3105
100.64,792.2065
100.72,787.7909
100.80,790.1953
100.88,788.7156
100.96,785.0591
101.04,779.7181
101.12,778.7039
101.20,784.3524
101.28,769.4182
101.36,788.9412
101.44,779.2840
101.52,772.6171
101.60,767.9484
101.68,768.1129
101.76,768.4388
101.84,770.1239
101.92,766.4153
102.00,758.2165
102.08,756.8158
102.16,761.2874
102.24,744.7132
102.32,751.7340
102.40,746.9183
102.48,744.0664
102.56,754.4654
102.64,745.9361
102.72,750.3816
102.80,745.7915
102.88,749.4456
102.96,743.6978
103.04,741.5423
103.12,741.8370
103.20,739.1801
103.28,729.4500
103.36,740.6379
103.44,738.2126
103.52,734.1029
103.60,737.6658
103.68,731.2196
103.76,728.4848
103.84,725.7852
103.92,727.7523
104.00,721.4622
104.08,724.9661
104.16,727.4905
104.24,720.7826
104.32,722.7499
104.40,725.6190
104.48,723.7793
104.56,718.9410
104.64,717.1591
104.72,714.5899
104.80,717.1382
104.88,711.3648
104.96,718.4138
105.04,716.2192
105.12,708.1051
105.20,701.1004
105.28,702.7605
105.36,705.1046
105.44,706.4943
105.52,704.9026
105.60,701.5564
105.68,694.9263
105.76,698.5989
105.84,696.6862
105.92,696.5395
106.00,693.4319
106.08,694.6033
106.16,687.2196
106.24,688.1067
106.32,692.2997
106.40,690.0961
106.48,687.2901
106.56,684.3374
106.64,684.5306
106.72,682.1172
106.80,682.9038
106.88,678.4348
106.96,677.6446
107.04,675.9650
107.12,673.2040
107.20,677.3710
107.28,670.2913
107.36,672.4058
107.44,671.0777
107.52,667.1800
107.60,670.8118
107.68,667.0621
107.76,668.5555
107.84,662.1524
107.92,661.1085
108.00,656.2382
108.08,658.0081
108.16,660.5226
108.24,657.2615
108.32,654.5078
108.40,656.2692
108.48,658.9654
108.56,652.8232
108.64,657.2004
108.72,653.2908
108.80,648.6403
108.88,645.9689
108.96,645.7330
109.04,644.1677
109.12,641.4801
109.20,645.8171
109.28,641.3822
109.36,639.8244
109.44,641.4982
109.52,640.0960
109.60,641.7138
109.68,640.5997
109.76,635.1625
109.84,633.5062
109.92,631.4864
110.00,628.2911
110.08,633.4689
110.16,631.8390
110.24,626.0496
110.32,625.1232
110.40,633.5178
110.48,632.0710
110.56,629.6412
110.64,624.7103
110.72,619.7380
110.80,616.3288
110.88,615.3754
110.96,613.8655
111.04,615.6208
111.12,611.2462
111.20,618.8204
111.28,618.7127
111.36,614.0643
111.44,615.5965
111.52,615.5750
111.60,614.0625
111.68,611.5835
111.76,610.1700
111.84,601.8565
111.92,608.2887
112.00,605.8663
112.08,603.1123
112.16,602.1585
112.24,610.5525
112.32,602.8041
112.40,598.5735
112.48,591.4043
112.56,596.3848
112.64,593.8621
112.72,595.4002
112.80,595.0946
112.88,591.8932
112.96,593.5701
113.04,590.0792
113.12,589.0463
113.20,589.5369
113.28,592.6740
113.36,592.2533
113.44,584.5752
113.52,591.6741
113.60,586.9138
113.68,581.4912
113.76,583.4108
113.84,585.6277
113.92,581.5564
114.00,578.3069
114.08,581.1438
114.16,579.7298
114.24,582.7443
114.32,574.3923
114.40,576.0442
114.48,570.9444
114.56,570.8959
114.64,577.8606
114.72,571.4912
114.80,572.8608
114.88,573.8768
114.96,570.7326
115.04,566.1018
115.12,565.5060
115.20,568.2295
115.28,568.7792
115.36,566.4138
115.44,565.2251
115.52,567.0697
115.60,560.6470
115.68,562.9365
115.76,557.8260
115.84,560.5841
115.92,558.1665
116.00,557.0411
116.08,556.7259
116.16,556.8758
116.24,554.6328
116.32,551.0912
116.40,558.0436
116.48,553.5869
116.56,553.9430
116.64,550.7021
116.72,547.3870
116.80,549.3197
116.88,545.0382
116.96,545.6689
117.04,545.2946
117.12,549.3971
117.20,548.9425
117.28,542.3479
117.36,539.7616
117.44,537.2655
117.52,540.4634
117.60,534.7316
117.68,538.1884
117.76,539.6178
117.84,536.7434
117.92,539.7482
118.00,538.3767
118.08,534.1272
118.16,535.3704
118.24,535.7992
118.32,532.7912
118.40,530.9296
118.48,527.4292
118.56,526.9916
118.64,529.9185
118.72,531.5047
118.80,527.2763
118.88,526.6655
118.96,526.6634
119.04,521.5078
119.12,524.9020
119.20,527.0818
119.28,520.4570
119.36,518.8530
119.44,518.2985
119.52,513.9318
119.60,518.0403
119.68,516.2931
119.76,511.3935
119.84,517.7553
119.92,518.5680
120.00,517.2084
120.08,516.8736
120.16,510.0221
120.24,508.9684
120.32,508.8192
120.40,509.1134
120.48,513.8211
120.56,513.1058
120.64,515.2111
120.72,510.0450
120.80,509.6340
120.88,509.0425
120.96,506.6188
121.04,508.9333
121.12,504.6662
121.20,499.1155
121.28,499.6017
121.36,501.2242
121.44,502.7625
121.52,503.9725
121.60,499.6521
121.68,494.5900
121.76,495.2283
121.84,498.4918
121.92,498.1221
122.00,496.3301
122.08,494.1230
122.16,494.9263
122.24,490.3246
122.32,488.9389
122.40,492.7369
122.48,492.2859
122.56,492.5266
122.64,489.3627
122.72,487.1891
122.80,488.4002
122.88,487.7826
122.96,487.3687
123.04,487.1705
123.12,490.5086
123.20,484.2728
123.28,480.1830
123.36,481.0887
123.44,482.7997
123.52,481.6578
123.60,484.5169
123.68,481.5747
123.76,480.8854
123.84,472.8441
123.92,476.8315
124.00,474.9675
124.08,476.5235
124.16,476.3073
124.24,474.0700
124.32,470.7198
124.40,475.7818
124.48,475.1034
124.56,472.6769
124.64,468.0131
124.72,469.3390
124.80,470.5527
124.88,466.8050
124.96,464.7329
125.04,468.0922
125.12,462.4169
125.20,462.6415
125.28,460.4646
125.36,465.5373
125.44,464.2255
125.52,463.5513
125.60,460.0549
125.68,458.8270
125.76,457.7674
125.84,461.8873
125.92,459.3355
126.00,457.9486
126.08,456.5558
126.16,454.0721
126.24,455.6437
126.32,453.3943
126.40,456.3746
126.48,455.7981
126.56,455.7865
126.64,458.1587
126.72,455.1817
126.80,453.9012
126.88,448.2772
126.96,447.6067
127.04,449.9082
127.12,442.6266
127.20,445.7192
127.28,448.9673
127.36,446.4515
127.44,442.7099
127.52,448.9943
127.60,444.5035
127.68,442.0914
127.76,440.0724
127.84,439.8314
127.92,447.1219
128.00,442.6770
128.08,438.2066
128.16,441.2538
128.24,442.2154
128.32,439.3904
128.40,437.0451
128.48,432.7555
128.56,430.8065
128.64,434.7863
128.72,433.1194
128.80,428.4121
128.88,435.9272
128.96,433.3208
129.04,431.7001
129.12,429.2155
129.20,430.9969
129.28,429.7006
129.36,425.8326
129.44,427.6289
129.52,430.1763
129.60,430.4245
129.68,427.7290
129.76,425.0307
129.84,423.5712
129.92,419.9936
130.00,427.1096
130.08,421.7742
130.16,420.8863
130.24,420.1209
130.32,417.5541
130.40,417.5119
130.48,416.9749
130.56,418.2163
130.64,416.2694
