NGP - BR,,SGP - BR,,NGP - RV,,SGP - RV,
X,Y,X,Y,X,Y,X,Y
0.24647950999050244,1.3954299602553051e-22,0.24960901930441615,1.5270202624869248e-22,0.45450037572076696,9.830178732387738e-22,0.44038814190043185,1.1177657739886406e-21
0.2867703501300253,3.002462662374084e-22,0.29224926302337206,3.285713391539449e-22,0.6935789284473061,2.4718848688499803e-21,0.667817098342989,2.9590254140771877e-21
0.3531386118192708,5.867937747770085e-22,0.3644549352776552,6.804682034482155e-22,0.892657650624273,4.194601885057698e-21,0.892657650624273,4.649256266582365e-21
0.4213641029689605,9.15485538792652e-22,0.41346462294062064,1.021154851001614e-21,1.3116205704081085,7.355990456348046e-21,1.3033723187967237,6.89751876210336e-21
0.5849561181263205,1.8849357376020737e-21,0.48105172998611334,1.2003042521302411e-21,2.1863819201981345,1.218310581878729e-20,2.172632648035711,1.1205464433803246e-20
0.7294805193570227,2.9226471293345976e-21,0.5849561181263205,2.1162934031223994e-21,3.9311584411162843,1.3119210680813813e-20,6.389685048655299,1.0368938353990027e-20
1.019105576608121,5.6793297380264504e-21,0.7481223040837176,3.0576704687092e-21,4.66115076782087,1.2553588499132058e-20,9.270929695068848,8.403468175938364e-21
1.2236894981254292,7.691762512506679e-21,0.892657650624273,3.933306472707172e-21,6.511763665854144,1.1642856353924855e-20,,
1.441796973617219,9.64248959381965e-21,0.8380842348245425,4.3581027661353295e-21,9.097123897530997,1.0728966615468953e-20,,
1.809398585936959,1.2487400154932812e-20,1.0320449904927858,5.224140476624787e-21,,,,
2.158969839488469,1.4124504293201538e-20,1.3033723187967237,6.303572398931336e-21,,,,
2.6923839087808172,1.3091498566678172e-20,1.478641917503401,8.002852549126791e-21,,,,
3.9560363547246395,1.4172372716579458e-20,1.8673807464209706,9.781451503601139e-21,,,,
4.690648359397062,1.373691906731887e-20,2.172632648035711,1.0306637756282022e-20,,,,
9.154694068206442,1.0060978913338553e-20,2.8496696731038744,1.3095651649029696e-20,,,,
6.762962608881267,1.1349538158171277e-20,3.906436974650981,1.2222671613278245e-20,,,,
0.898306738608567,4.304069126232357e-21,6.720433070617711,1.0573934762140124e-20,,,,
