z,Tb
10.16859595663262,-0.04376849927578519
10.584395379396232,-0.04376849927578519
11.017197066848883,-0.04376849927578519
11.467696250846915,-0.04376849927578519
11.93662642635971,-0.04929323463237267
12.424823946221364,-0.10454058819826173
12.93288175939552,-0.10454058819826173
13.461714333052763,-0.10454058819826173
14.012171158455587,-0.10454058819826173
14.58513646302652,-0.10454058819826173
15.181530630728622,-0.10454058819826173
15.802311680526127,-0.10454058819826173
16.44850390945759,-0.11559005891145091
17.121219142803366,-0.16531267712073827
17.821388527470756,-0.1929363539036899
18.550206505364702,-0.2260847660432148
19.308782271072648,-0.24265897211297727
20.098610395310676,-0.3365794731749929
20.92076377337065,-0.43602470959359607
21.77661990981715,-0.5575688874385492
22.66773140620258,-0.7509346249191537
23.59540488691885,-0.9719240391826958
24.561124209088874,-1.215012394872602
25.566895376647956,-1.5962191344772236
26.61398415711366,-2.0105742862213702
27.704481311656487,-2.5519983511670716
28.84020765754577,-3.2204913293143136
30.022962316193507,-3.993954279236746
31.25466023552191,-4.86133773022118
32.537853887022294,-5.927611654042806
33.87428861519438,-7.1043802849962105
35.20202302249194,-8.39385351722403
36.51561119368627,-9.755148309087488
37.740182859062315,-11.066306127589911
38.863766152160075,-12.342519994961918
40.02084558676281,-13.626330373449221
41.137560660067734,-14.941612012271392
42.285661643074306,-16.292705774922865
43.46595953446991,-17.667674286793897
44.597286937848054,-18.952569881154815
45.7585343633778,-20.30691929142715
46.95014052928366,-21.678632155677334
48.172652784207855,-23.032981565949655
49.427381416100836,-24.439421338155526
50.714660005362866,-25.82849765638356
52.03532952428381,-27.200210520633746
53.390045208171315,-28.52851474993929
54.780243061087994,-29.882864160211625
56.30974230955624,-31.31100824988981
57.881196748446,-32.652335069678756
59.49602483924226,-33.939401095786906
61.379780437472185,-35.29833252863672
63.43811101362207,-36.6015562133076
65.80532089484667,-37.960027251544375
68.5098512760814,-39.30253794319543
71.32347827405101,-40.4516828973659
74.250333242056,-41.390887907986
77.29481192944544,-42.114628239699115
80.46153758796879,-42.62290389250528
83.7557939826253,-42.954388013900584
87.18140410387132,-43.01516010282306
90.74525243560714,-42.937813807830835
94.45190629670431,-42.6560523046448
98.30777819729015,-42.225122946830865
102.31811030130262,-41.60082785153638
106.49028366603426,-40.86603804911003
110.82966153824447,-39.9544567152729
115.34443942477853,-38.96000435108694
120.04125297465212,-37.860582015125786
124.92798219283272,-36.689338119528955
130.0116087876042,-35.41312425215696
135.3015432583279,-34.109286708002
140.55071259028233,-32.81815605516722
146.00345693293482,-31.523710561118477
151.9431941280047,-30.18119986946742
157.83761713009795,-28.874047484098526
163.95924704763195,-27.507227956878467
170.32012468361924,-26.212229989294045
176.92570565987165,-24.838780779646086
184.12327527816456,-23.490745352638427
191.61428295381384,-22.164808867057133
199.40973174117957,-20.827822910762663
207.5238617949834,-19.54055957267748
215.96940739789542,-18.291969382088425
224.7610665784851,-17.11520075113502
233.9104229449041,-15.932907384825029
243.43422814263312,-14.805861372080926
253.34872315939708,-13.756161654329063
263.66766360617777,-12.723036142646976
274.40915728542484,-11.74515798453075
285.58989319639915,-10.805952973910664
297.2291242021102,-9.933044787569642
309.3455162644922,-9.120908690151097
321.9563573305676,-8.319822063445741
335.0843313204272,-7.579507525662848
348.75048012726137,-6.8944403414458435
362.97548727194436,-6.2369968340117765
377.7841348932097,-5.640325415500186
387.52842491792336,-5.391712324453692
