GC - BR,,AC - BR,,GC - RV,,AC - RV,
X,Y,X,Y,X,Y,X,Y
0.24455435750884358,1.1213950771639242e-22,0.2524780510072329,1.0172381696851383e-22,0.45942448069173764,1.213453410849467e-21,2.1917196252512827,1.0289450487247096e-20
0.29368382969495055,3.253987808790426e-22,0.29169991204580575,2.874472791134426e-22,0.6954228419764896,3.43944279414165e-21,3.9366375012102113,1.164838530061666e-20
0.3616110318805309,7.275817142458703e-22,0.3614529326848779,6.221440544616657e-22,0.9064410358962399,5.4818276596575725e-21,4.773706798433708,1.100826212695629e-20
0.41180815571897056,1.1807370768226248e-21,0.41970919573266796,1.0639493324762815e-21,1.2845297407882368,8.74528878560732e-21,6.754783882048772,1.0286451182720773e-20
0.48380682982434,1.3302634032991849e-21,0.48392144404026016,1.4479914737159226e-21,2.1929979267451416,1.267787919540867e-20,9.371070183175926,8.163824230218483e-21
0.5955780344762129,2.750477441505238e-21,1.8779688114651005,9.81300119440091e-21,3.9151773917216723,1.6458129303751203e-20,,
0.7418791209320594,3.8961053145805736e-21,3.9124674721562833,1.2844829308627688e-20,4.718018015038331,1.6492952546720176e-20,,
1.0382863962737807,7.127022451796785e-21,4.744570258904,1.2298362045426428e-20,6.805931166344916,1.5314655250613213e-20,,
1.2602336056546792,9.393807482203728e-21,6.757122783594049,1.1643716846781264e-20,9.446846443704377,1.4590088463454864e-20,,
1.4430660949513123,1.08600366044267e-20,9.435664565435948,9.548081542961988e-21,,,,
1.8552156422727093,1.2489864513847972e-20,2.206626010433292,1.1647960818387598e-20,,,,
0.812405563995889,5.129296058342826e-21,,,,,,
3.8889418320556906,1.48259183228075e-20,,,,,,
6.848974417729243,1.4632152603401724e-20,,,,,,
9.378586198791748,1.0877860459718359e-20,,,,,,
